company,details,slide_type,description,use_case,industry,tags,image_link,image_id
McKinsey ,Blockchain and Digital Assets,Table,Layout showing a variety of financial service segments and their engagements with digital assets.,Technology and Digital Transformation,Financial Services,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703120ead0d80ccf0247aa8_vpXWPL2uJH1An1grtLXoYbT-LyvN27ix5Cp0h-g43lY.avif,slide-4012.jpg
McKinsey ,Blockchain and Digital Assets,Linear Flow,"Includes examples and visuals of NFTs, digital identities, and Metaverse platforms, emphasizing their roles and applications.",Technology and Digital Transformation,Technology & Software,"['Icon', 'Process Flow', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031216524eef1f07da876c_sfUcHc6iCmnd-8HCeNcg_Nc7HAhEHJvEGVc7G05oOZU.avif,slide-4013.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Pillar,"Map highlighting surveyed regions, icons representing survey waves and respondent statistics.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Map']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703121e8aeb5f7fd667514a_RAM2n5dTL3WOODZXy29_FoyDXjvfW85La-f66H334pw.avif,slide-4014.jpg
IPSOS ,INVESTING AND THE COVID-19 PANDEMIC,Single Chart,"A column chart showing the percentage of respondents owning various investment products, such as mutual funds, pension plans, GICs, stocks, ETFs, and others.",Financial Performance,Financial Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b5659e704927dd465e5e3_Fw3c7kVrDigYpPArJzNsWqNbLQcgSG0ZQCot5h081eM.avif,slide-4015.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,The slide features multiple column charts with percentages indicating new car purchase intent and changes in mobility mode.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703122d90f12fafb1fd7884_VSZ8rJA9Rkd609ekecboIS-zGHGhZVpgQ_lQos7Cr2U.avif,slide-4016.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,Slide includes side-by-side column charts comparing the purchase intent for new and used cars over time.,Market Analysis and Trends,Transportation & Logistics,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031235af2b57e47280231c_Pzuhv1YknWQOb8WfC2lfS2J8a5EUUer68hX6riGM3Ag.avif,slide-4017.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Presents line graphs tracking the purchase intent for new vs. used cars across the US, Europe, and Asia.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703123c96d45b58f77fb29e_liUckz69AXt5Cpp3_HJE2F3SsCABUpqSNiFghOdJDxg.avif,slide-4018.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"The slide displays column charts for multiple countries, comparing the change in new car purchase intent.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312432833bde123e9a082_YSKOyyPdzBMYP3S7b_kxkiNaSzwgPBEt4hz7bOHLvYM.avif,slide-4019.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,Features column charts comparing the purchase intent for used cars pre-COVID-19 and during subsequent months.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703124bad0d80ccf024dbd0_p4EF7ydByobunaP99KOmzrCqoYy4npOLc7iR_6sHEqQ.avif,slide-4020.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Contains column charts showing car purchase intent across income levels in the US, Europe, and Asia.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031253459fb5eb022e4aa2_n5UpXCjdx_R3Rwwe1l4w45tM1Ibn9-MLnUSqZkeX7NU.avif,slide-4021.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,Depicts column charts with percentages showing purchase cancellations by income level in various regions.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703125a1082f2cd0302b8e7_Z7IRb0gNt8yyosji2o-BCG6uEjX_wmlNY4COchfjeys.avif,slide-4022.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,The slide features column charts comparing pre-COVID-19 premium and volume car purchase intent with recent months.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703126290f12fafb1fdc0cb_GkGAEX4GFjc5DRGaUiGEO67jJXYgjd6LiLNVNMIz9No.avif,slide-4023.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,Includes column charts showing cancellation rates by engine and brand preference during COVID-19.,Market Analysis and Trends,Transportation & Logistics,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703126abe6b852d3ab77061_sJFadVDkc7rnwN6JKXIL-awRs_wFI2RA7TTTkUVzIRk.avif,slide-4024.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,Comprises column charts representing the percentage of respondents considering EVs before and during COVID-19.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703127345b60cf802a606eb_1QhYjm1oX2OFOZxSknd0xlSP0svWgr6wMXlnxf2F9wA.avif,slide-4025.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"This slide features a series of column charts comparing the duration of purchase delays in various countries (US, UK, Germany, France, Italy, China, Japan). Each chart is segmented by months.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703127b68e0e47faa8cc6e5_WJmRzgaW__tfMrTszYJA3Cip5vo5J7JnaBa7ZeCvees.avif,slide-4026.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Composed of column charts, this slide presents the reasons for purchase delays in different regions (US, Europe, Asia), segmented into categories such as health and economics.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703128387caf7888b864b5f_2TvAPzlIqXsI7sBRTkchf0zE2-pVeUnRKW9rC3hlPFU.avif,slide-4027.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Slide features column charts showing the proportion of purchase delays due to health concerns and the influence of subsidies in various countries (US, UK, Germany, France, Italy, China, Japan).",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703128b8aeb5f7fd667e741_o0UbH1z_dovS_3cwXZ2FqgUEYnCjilLZVX2pG0vZiSI.avif,slide-4028.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Contains column charts comparing the observation of discount levels on automotive purchases in the US, Europe, and Asia, with distinctions between premium and volume categories.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703129335531060e7352fcd__ksHtVfwn_6M2EcSMOt9nwLDHS7JqONr36T8dl6aLn4.avif,slide-4029.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Column charts display the required discount amounts for vehicle purchases within the next 1-2 months across various countries (US, UK, Germany, France, Italy, China, Japan).",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703129c96d45b58f780257e_bjdGP3FIhyHz14rYd1poRylhVSJlU7zMHiQ7feLK-Y8.avif,slide-4030.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"This slide contains column charts showing preferred types of non-cash discounts, such as financing options and deferred payments, across different countries (US, UK, Germany, France, Italy, China, Japan).",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312a4af2b57e47280b0eb_DshJLiJUcYEMGYv5XM4sPKwcx-cUNbwjy83Z0jtwXqE.avif,slide-4031.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Features column charts detailing the changes in planned vehicle spending due to COVID-19, comparing data from before and during the pandemic across the US, Europe, and Asia.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312ab1954b7b8f9fd4fc1_Pjenm_iX_vAnUSRHeA0WFmRKxYvfkswxdEJkg30gr48.avif,slide-4032.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"The slide presents column charts comparing brand consideration (premium vs. volume) in vehicle purchases before and during COVID-19 across multiple countries (US, UK, Germany, France, Italy, China, Japan).",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312b32209352beed81c1b_2Y21w2i5o5WXl_3pLM6anGqt__I0yusWw6XakvnaExg.avif,slide-4033.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"This slide shows column charts comparing the preferred sales channels for car purchases (in-person, by phone, online) before and during COVID-19 in the US, Europe, and Asia.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312ba1f8917f566b8264c_O8orD57K2iwZI50gAeaKBIxk8W-wSjcXjm60iILVeAA.avif,slide-4034.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"The slide displays column charts detailing the preferences for in-person interactions at car dealerships for purchasing cars, segmented by age groups across various countries (US, UK, Germany, France, Italy, China, Japan).",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312c200e23e2b9599fa3d_nsjnWRx8zTMnVjyc0yPExPJ3EMkLLTS89KapICtWw9c.avif,slide-4035.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,The slide features multiple bar charts illustrating the motivation for visiting a dealer during various stages of a vehicle purchase. Each column represents a percentage with corresponding reasons listed vertically on the left. The visual is dense with text labels and percentage values.,Market Analysis and Trends,Transportation & Logistics,"['Table', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312cb5529ca9fef63328b_xRiCCIvHOhepKQ54JbsseTknxDpBtivZuizSvMGt3ug.avif,slide-4036.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"The slide presents multiple column charts for different countries indicating consumer interest levels in online buying, contactless sales, and service with dealers. Each country's response is shown in contrasting colors, representing different levels of interest.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312d2140339bd2c9c5f82_GCvxpmQUEQ0_BYvXO66lJWJY-LCSV6ZjQHs1zg8CI4A.avif,slide-4037.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Single Chart,"Contains multiple bar charts aligned horizontally displaying the percentages of consumers delaying, maintaining, or increasing vehicle maintenance and repairs post-COVID-19. Colors differentiate actions across several countries.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312da2833bde123ea72b0_B1Q1Vslm5GhBEwtAQ3Ut6cxOyGtVT5fEaTpLrdmvJeQ.avif,slide-4038.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"This slide features six column charts, one for each country (US, UK, Germany, France, Italy, China, Japan). Each chart displays respondents' intent to increase or decrease online ordering and home delivery, using blue and red colors respectively for increase and decrease. Data points are labeled with percentages and survey dates. Legends and annotations are used for clarity.",Market Analysis and Trends,Industrial & Manufacturing,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312e28b98b3641499211b_m8b8MCAiZyObj9SrS4eRZrDA_qocJoeWBMcyss2CAbU.avif,slide-4039.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"This slide contains a series of column charts and a bar chart representing mobility pattern changes globally and for various countries (US, UK, Germany, France, Italy, China, Japan) during three survey waves. The column charts use shades of blue to indicate degrees of mobility increase, and grey for decrease. Each country's flag is shown for identification.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Column Chart', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312eaad0d80ccf025bcbb_t8hse3Kyh1vpXQlhfjYpubXNYMjZzoOF6PWt9K2B564.avif,slide-4040.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"The slide contains multiple bar charts tracking the usage of different transportation modes before and after a crisis. Each chart displays data across different waves, comparing the percentages of users.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Bar chart', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312f1ecb6f93d534ab372_UlKAuWjE3_6rd6u5kCKhM-UJ7PpjgzuX4lkr5OYflo8.avif,slide-4041.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,The slide includes multiple bar charts comparing the change in transportation modes across different regions. Each chart represents changes in percentages and is colored based on region.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670312f9bd4e8ca71f933214_Yd_YHEskmj5Yhp8Xyekj8rJl8R_2K4wUIssAPo8CM-A.avif,slide-4042.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,The slide features column charts detailing the frequency of commuting trips across different waves and regions post-crisis.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313006fdf2e5ab585e44e_774nh3-G2IoETKV-5i0aHwkug6A1f2-glcv4_6FLPJg.avif,slide-4043.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"This slide shows a series of column charts displaying changes in the use of various intercity travel modes like airplanes, trains, and private vehicles across different countries.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031307524eef1f07dbc949_gMtXTV-DURyKpJqoDKI0ufj4kL3mGhUVXxDLKMZEWaI.avif,slide-4044.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"The slide presents column charts comparing the anticipated changes in the use of private vehicles and trains for intercity travel, split by current vehicle ownership status.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703130f7c33ca5b3bfc4932_zII6gqw38t_5Gy6Kc_Yrb1RK6TIlFCw0FYnoK1dSvpo.avif,slide-4045.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Table,Slide with lists comparing the perceived safety of various transportation modes in terms of health risks during a crisis.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031318bd4e8ca71f935b5a_nRstRtU2_yV7dE0uxaHcY3JVsZM8PsDT3a-TedIM9WI.avif,slide-4046.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Single Chart,Includes multiple column charts assessing the effectiveness of various health safety measures in encouraging the use of public and shared transport modes.,Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703131fc2d4364a1e814904_1Mt2gP65rw7S1NrYZFBzVL-CDbZ-tZIOa5J86rCckuk.avif,slide-4047.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Bar charts on the slide show changes in the importance of constant access to a private vehicle post-crisis, segmented by age and gender.",Market Analysis and Trends,Transportation & Logistics,"['Icon', 'Table', 'Bar chart', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703132700e23e2b959a8727_rnsG5qUMTRNmLWmIlnBESmwOW8WHbl3him2Dt_nS27g.avif,slide-4048.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,The slide features column charts depicting the willingness of vehicle owners and non-owners to expand the use of their vehicles to new scenarios post-crisis.,Market Analysis and Trends,Transportation & Logistics,"['Table', 'Column Chart', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703132e1f8917f566b8bf06_Usa2Zu8IhlJV-hIkjk3E5Nw3YmsH0aOcuwGVj9uhySk.avif,slide-4049.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,Contains multiple column charts ranking the key factors influencing transportation mode choice before and after a health crisis.,Market Analysis and Trends,Transportation & Logistics,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313366fdf2e5ab58636a0_9SPJV2mQrHfpeKGEx8Rh4QOB_L0CoQqQv9TFpUmIwpk.avif,slide-4050.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Single Chart,Slide contains multiple column charts comparing consumer valuation of autonomous vehicles before and after COVID-19 across several countries. Each country is represented with a flag and percentage changes are shown in blue and black columns.,Market Analysis and Trends,Technology & Software,"['Bullet points', 'Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031346125d43cf3c9423c1_pPiylq4U9Q6hSbbRseFemnHnpXyTFoEh83gWsKipzGY.avif,slide-4051.jpg
McKinsey ,COVID-19 Auto & Mobility Consumer Insights,Multiple Chart,"Slide features a stacked column chart comparing discount levels observed by consumers in different countries over three months. Colors indicate whether discounts are higher, in line, or lower than pre-crisis levels.",Market Analysis and Trends,Technology & Software,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703134d90f12fafb1feed9a_njKM9Ltp2cUg-jFQqYpohSufOWte835mypWXVHOl1Hg.avif,slide-4052.jpg
McKinsey ,Chilean Hydrogen Pathway,Table,"Slide includes diagrams and text comparing production methods of grey, blue, and green hydrogen, highlighting CO2 emissions and investment requirements.",Strategic Planning,Energy & Utilities,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313566fdf2e5ab5865ea3_Qq369bzpPxAs2Os3SJfdUuUFoHs7NJ-uotMtP8vMoT4.avif,slide-4053.jpg
McKinsey ,Chilean Hydrogen Pathway,Linear Flow,"Slide contains a bar chart showing hydrogen production costs over time comparing grey, blue, and green hydrogen.",Investment Analysis,Energy & Utilities,"['Table', 'Process Flow']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703135d79642083a4883614_KIjrzzrB9185uVxhm3CN8oXcSr3qOF2QbgL4g2eUe28.avif,slide-4054.jpg
IPSOS ,INVESTING AND THE COVID-19 PANDEMIC,Single Chart,The slide features a bar chart showing percentages of respondents' management of their primary investment accounts. Each bar represents a different management method.,Investment Analysis,Financial Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b565c97fdaaf1ded88736_PLknKAj-buJhP5RLg9UTFudVq_KF4Vpd30z8agLd2kk.avif,slide-4055.jpg
McKinsey ,Chilean Hydrogen Pathway,Vertical Flow,"Slide uses flow diagrams to illustrate the hydrogen value chain, detailing production, handling, and final use across various applications.",Operational Efficiency,Energy & Utilities,"['Bullet points', 'Icon', 'Table', 'Process Flow']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703136f524eef1f07dc47b7_UyC9gQ0Bq3LzIzOUg16KonJoWJqLXkJOJe4QXpbheAc.avif,slide-4056.jpg
McKinsey ,Chilean Hydrogen Pathway,Linear Flow,Slide presents a timeline showing significant events and milestones in the hydrogen industry from 2018 onwards.,Market Analysis and Trends,Energy & Utilities,"['Icon', 'Process Flow', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031377e2d0d76b5d14e00d_2jEVlZcCAuntIQ8xBR3LpG0gpAgn9lqBDRCTScM7iGc.avif,slide-4057.jpg
McKinsey ,Chilean Hydrogen Pathway,Graphic,"Slide features a world map pinpointing major hydrogen projects globally, supplemented by logos of participating companies.",Strategic Planning,Energy & Utilities,"['Icon', 'Map']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703137f459fb5eb022fd1ad_C9oTQHA9OELEde-u4C-1ARIK2nZ6NAP49QZfeHhQj3w.avif,slide-4058.jpg
McKinsey ,Chilean Hydrogen Pathway,Single Chart,"Slide shows a bar chart of global green hydrogen electrolysis projects by region, planned from 2015 to 2025.",Strategic Planning,Energy & Utilities,"['Icon', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031386f6cc483f60a5f468_DBUbPqPYiRIUWBv8mMIcLhN7DLDGTBZMZ69ulBbHEmw.avif,slide-4059.jpg
McKinsey ,Chilean Hydrogen Pathway,Table,"Slide includes a detailed table comparing hydrogen roadmaps by country, focusing on production goals and policy details.",Regulatory and Compliance,Energy & Utilities,"['Icon', 'Table', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703138e5ba9e3b20c7c0878_Q4rAlwvt20eQtLW4VdzfwEUuQ8Sm8OHyI5eXwgJ2ZWU.avif,slide-4060.jpg
McKinsey ,Chilean Hydrogen Pathway,Multiple Chart,"This slide features column charts, a pie chart, and bullet-point text. The layout is divided into three columns detailing the EU’s hydrogen strategy and its investment needs.",Industry Overview,Energy & Utilities,"['Column Chart', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67031396b86684e2f14c1a8c_6d3sW5K47PVSC7O8011pPmILcCd2dg6N5u7Ba637zKU.avif,slide-4061.jpg
McKinsey ,Chilean Hydrogen Pathway,Mixed Chart,"The slide presents a three-phase roadmap for the EU's hydrogen strategy up to 2050, using a horizontal timeline format with three distinct columns for each phase. The slide includes icons, a bullet list for each phase's details, and phase headers.",Strategic Planning,Energy & Utilities,"['Icon', 'Column Chart', 'Table', 'Process Flow', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6703139ee14286f751b46701_3L19r-ej465POYJZ9YCA_iW9oeu6oW8qruYE7g9wyiE.avif,slide-4062.jpg
IPSOS ,CCPC INVESTMENTS RESEARCH,Multiple Chart,"The slide includes a gender breakdown, an age distribution pie chart, and a regional distribution bar chart. The layout is clean and visually balanced.",Customer and Market Segmentation,Financial Services,"['Pie Chart', 'Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b56629e69eb2727a2b57d_UjNSSEHMNk-77CQmPdsz8kdDOzZDWwesTuWTm9SSe6c.avif,slide-4063.jpg
IPSOS ,CCPC INVESTMENTS RESEARCH,Multiple Chart,The slide has a bar chart of investment products held and a pie chart of the percentage invested in at least one financial product. Colors are used to distinguish categories.,Market Analysis and Trends,Financial Services,"['Pie Chart', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b5665bfa7751dcb35f7c5_Fk9eICmTtneNnN7Kkx8JEccpp_c8QYCKLztFhAQebUE.avif,slide-4064.jpg
McKinsey ,Chilean Hydrogen Pathway,Linear Flow,"Slide with a process timeline and funding source breakdown, including bar and line graphics to represent stages from pre-commercial development to market roll-out.",Market Analysis and Trends,Energy & Utilities,"['Table', 'Process Flow']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313b699eed76e37e149b6_M-ORRvIYcBa1Hm-kINKXkOuMGlWvYM6GgOpL1XCAz8c.avif,slide-4065.jpg
McKinsey ,Chilean Hydrogen Pathway,Mixed Chart,"This slide has a balanced mix of text and imagery, displaying a minimalist layout with key focus areas and targets in bullet points alongside a South Korean flag.",Strategic Planning,Energy & Utilities,"['Column Chart', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313be5d07caedc044ab8e_fJlGyv45MsSL3JA7slNqQZ0aEfeStgylebdNj18Dpqs.avif,slide-4066.jpg
McKinsey ,Chilean Hydrogen Pathway,Mixed Chart,"Features timelines and bar graphics detailing the growth in hydrogen infrastructure and vehicle production capacities, supplemented by bullet points.",Operational Efficiency,Energy & Utilities,"['Icon', 'Column Chart', 'Table', 'Process Flow', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313c690f12fafb1ff8492_iOK3JIMuaZAE-RJXzAjMtM_CN5FO3mwjrCHNzRUKmmo.avif,slide-4067.jpg
IPSOS ,CCPC INVESTMENTS RESEARCH,Mixed Chart,The slide contains a table with percentages of investment product ownership across different age groups and a bar chart showing ownership by gender and social class.,Customer and Market Segmentation,Financial Services,"['Bullet points', 'Icon', 'Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b566969e559da43e0b65a_rlFdK4Xi5K4GMfY8F5lbAC1VA37Lkqk_v87SFzzzqSg.avif,slide-4068.jpg
IPSOS ,CCPC INVESTMENTS RESEARCH,Multiple Chart,"The slide features a pie chart of investment intentions and a bar chart of planned investments, with a text box summarizing the key insights.",Market Analysis and Trends,Financial Services,"['Pie Chart', 'Bar chart', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b566dbfa7751dcb360037_vNZG-Nlfquswv1AQqMlulD5xugpK87fFyLwRWLoYlUs.avif,slide-4069.jpg
McKinsey ,Chilean Hydrogen Pathway,Mixed Chart,"Contains timelines and icons depicting hydrogen electrolysis capacity targets, infrastructure roadmaps, and targeted end-use sectors in a segmented layout.",Strategic Planning,Energy & Utilities,"['Icon', 'Column Chart', 'Table', 'Process Flow', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313dc3ce2a81121e210d6_gq2ph0vUCL3SPUwkHz_GOBxITPiFxg_7FLT_ICtWOd8.avif,slide-4070.jpg
IPSOS ,CCPC INVESTMENTS RESEARCH,Mixed Chart,"The slide includes a bar chart showing changes in the number of investment products owned over the past five years, segmented by age group.",Market Analysis and Trends,Financial Services,"['Takeaway Box', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b566fbd2ca0bce6a3f812_XGssYilRe8pQe1EQUkpmxWjzTu1EPeTNc8BIlh3ljdo.avif,slide-4071.jpg
IPSOS ,CCPC INVESTMENTS RESEARCH,Mixed Chart,The slide features a bar chart of sources of investment information and a text box with insights on the preferred sources based on age groups.,Risk Assessment and Management,Financial Services,"['Bar chart', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b5672d2ee6fdf3dfb86a0_Oux5LzEUZLM0DBn_neCy8QicgFbdivbP6HbYQ-zqcEE.avif,slide-4072.jpg
McKinsey ,Chilean Hydrogen Pathway,Multiple Chart,Table layout describing key measures and commitments of Germany's Hydrogen Strategy with icons illustrating different sectors like generation and infrastructure.,Regulatory and Compliance,Energy & Utilities,"['Icon', 'Column Chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/670313f45d07caedc044eea8_Gs01qMBaIZmvf5svpnegoXwFpdbv7S2vZuENLmTQ7E8.avif,slide-4073.jpg
